127.0.0.1 - - [19/Jul/2014:09:47:18 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:20 +0530] "GET /Project/ HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:28 +0530] "GET /Project/home.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:47 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:51 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:55 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:47:55 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:48:01 +0530] "GET /Project/Index.jsp HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:09:49:29 +0530] "GET /Project/home.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:06:18 +0530] "GET /Project/home.jsp HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:06:18 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:06:51 +0530] "GET /Project/home.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:06:51 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:22:05 +0530] "GET /Project/home.jsp HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:22:05 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:22:08 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:22:08 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:23:06 +0530] "POST /Project/Register.jsp HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:23:06 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:28:40 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:28:40 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:28:47 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:28:47 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:30:07 +0530] "POST /Project/Register.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:30:07 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:31:11 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:31:11 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:31:25 +0530] "POST /Project/Register.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:31:25 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:33:45 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:33:45 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:33:55 +0530] "POST /Project/Register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:33:55 +0530] "GET /Project/home.jsp HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:33:55 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:35:31 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7119
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:35:31 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:36:57 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7119
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:36:57 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:37:07 +0530] "POST /Project/Register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:37:07 +0530] "GET /Project/home.jsp HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:37:07 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:38:55 +0530] "GET /Project/Homelogout.jsp HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:38:57 +0530] "GET /Project/logout.jsp HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:43:25 +0530] "GET /Project/Homelogout.jsp HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:43:26 +0530] "GET /Project/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:43:26 +0530] "GET /Project/home.jsp HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:43:26 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:43:37 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:43:37 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Jul/2014:10:43:37 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
