127.0.0.1 - - [17/Jul/2014:10:07:18 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [17/Jul/2014:10:07:20 +0530] "GET /Project/ HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [17/Jul/2014:10:07:36 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 7042
0:0:0:0:0:0:0:1 - - [17/Jul/2014:11:42:56 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 7042
0:0:0:0:0:0:0:1 - - [17/Jul/2014:11:46:18 +0530] "GET /Project/Index.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:03:45 +0530] "GET /Project/home.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:03:45 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:04:50 +0530] "GET /Project/home.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:04:50 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:04:51 +0530] "GET /Project/home.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:04:51 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:05:54 +0530] "GET /Project/home.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:05:54 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:06:17 +0530] "GET /Project/home.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:06:17 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:09:54 +0530] "GET /Project/home.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:09:54 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:11:06 +0530] "GET /Project/home.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:11:06 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:11:07 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 7042
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:11:11 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:12:00 +0530] "GET /Project/Index.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:17:55 +0530] "GET /Project/home.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:17:55 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:18:15 +0530] "GET /Project/home.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:18:15 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:18:17 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:18:17 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:18:19 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7042
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:18:23 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:19:51 +0530] "GET /Project/home.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:19:51 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:19:53 +0530] "GET /Project/catalogue.jsp HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:19:53 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:19:55 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:19:56 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:20:46 +0530] "GET /Project/home.jsp HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [17/Jul/2014:12:20:46 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
